#{"t_start": 1741785657.5387058, "env_id": "None"}
r,l,t,distance_to_target,collision,reached_goal,target
39.696543,50,1.786135,0.5783296606842295,True,False,[0.3 0.  0.5]
139.832447,100,2.479374,0.3357882359473323,False,False,[0.3 0.  0.5]
198.852924,100,3.162905,0.10423436603770442,False,False,[0.3 0.  0.5]
192.635949,100,3.839071,0.12604429444025098,False,False,[0.3 0.  0.5]
154.737691,98,4.539717,0.20229283676071375,True,False,[0.3 0.  0.5]
171.216799,100,5.238353,0.24451842918131575,False,False,[0.3 0.  0.5]
147.307057,100,5.929068,0.26058764144750407,False,False,[0.3 0.  0.5]
31.910356,51,6.551701,0.6798087030852751,True,False,[0.3 0.  0.5]
149.975413,100,7.229045,0.290343976036404,False,False,[0.3 0.  0.5]
174.04636,100,7.902815,0.1742446863340086,False,False,[0.3 0.  0.5]
52.236402,65,8.52322,0.7405386327128063,True,False,[0.3 0.  0.5]
36.873867,42,13.620645,0.4669243276097243,True,False,[0.3 0.  0.5]
163.533311,100,14.305728,0.23470546555756772,False,False,[0.3 0.  0.5]
33.820647,57,14.913986,0.7269800483241431,True,False,[0.3 0.  0.5]
188.494561,100,15.602602,0.20285387155551737,False,False,[0.3 0.  0.5]
209.873919,100,16.28542,0.16896710710583826,False,False,[0.3 0.  0.5]
506.648643,100,16.961735,0.08398663068395383,False,True,[0.3 0.  0.5]
183.973268,100,17.637033,0.19175759788543004,False,False,[0.3 0.  0.5]
161.352699,100,18.315399,0.19423182996418684,False,False,[0.3 0.  0.5]
45.214317,58,18.919294,0.6446773191463887,True,False,[0.3 0.  0.5]
46.287087,57,19.53563,0.6765305819841916,True,False,[0.3 0.  0.5]
177.28234,100,20.222298,0.17051293592045066,False,False,[0.3 0.  0.5]
131.582914,97,20.919782,0.23718414990956202,True,False,[0.3 0.  0.5]
205.609028,100,22.164081,0.17858906942327513,False,False,[0.3 0.  0.5]
69.604641,60,22.787982,0.5999744513063192,True,False,[0.3 0.  0.5]
31.232761,41,27.871202,0.4232417072732698,True,False,[0.3 0.  0.5]
37.972903,51,28.481299,0.657217476252618,True,False,[0.3 0.  0.5]
