#{"t_start": 1742428166.974477, "env_id": "None"}
r,l,t,distance_to_target,collision,reached_goal,target
591.953664,200,2.67003,0.3627754786982046,False,False,[0.47439796 0.11037049 0.51986499]
401.691688,200,4.059724,0.5713527515578665,False,False,[0.47412896 0.26814712 0.43213393]
269.767838,200,5.440201,0.961786369569122,False,False,[0.38185945 0.34770839 0.41986187]
371.072539,200,6.798386,0.8449558966436204,False,False,[0.40673091 0.34845353 0.51165684]
257.571685,200,8.17422,0.8629876738640049,False,False,[0.35383198 0.30543125 0.37377595]
338.175862,200,9.526943,0.4298100930435661,False,False,[0.63862459 0.13185819 0.50209844]
335.887208,200,10.891104,0.810325003009418,False,False,[0.3261146  0.27124893 0.33861237]
188.214354,200,12.240841,1.0605575968839343,False,False,[0.35086399 0.33869812 0.3904048 ]
435.892751,200,13.685691,0.6251151404291309,False,False,[0.34277827 0.18812248 0.43993051]
466.901646,200,15.177909,0.6104743404301866,False,False,[0.48711499 0.18069729 0.55616269]
443.12953,200,17.351817,0.6614533041263058,False,False,[0.49322793 0.30209469 0.45475706]
242.88001,200,18.768639,0.9052442687370613,False,False,[0.64595137 0.37758364 0.32581429]
320.060251,200,20.170341,0.8517996424206105,False,False,[0.33575656 0.10261871 0.50025109]
269.250239,200,21.684272,0.9638296568716705,False,False,[0.39238081 0.26599243 0.49465906]
427.813343,200,23.15891,0.5886518950914137,False,False,[0.63020921 0.18334474 0.41086261]
222.766884,200,24.630224,1.1424972976738617,False,False,[0.63949727 0.32854637 0.37093958]
192.695851,200,26.153507,0.9770955883448352,False,False,[0.35818866 0.48682132 0.36356098]
249.04099,200,27.591331,1.001521240685024,False,False,[0.53355836 0.32880056 0.31641498]
614.480781,200,29.042199,0.6867889923146427,False,False,[0.33470113 0.16192053 0.57172027]
448.292277,200,30.447075,0.7099225520072844,False,False,[0.6169868  0.23503558 0.44474261]
61.836037,200,32.572083,1.091245496789088,False,False,[0.57735358 0.49021009 0.30423875]
732.141818,200,33.988368,0.28469194619708094,False,False,[0.46414198 0.19753066 0.33134782]
193.182233,200,35.489387,0.7758536433979084,False,False,[0.46822478 0.42134744 0.41230088]
335.742567,200,36.922185,0.5342213040877932,False,False,[0.40801491 0.27508006 0.39079584]
529.479661,200,38.358246,0.760129534807134,False,False,[0.62551446 0.11901036 0.30001723]
481.44819,200,39.74023,0.469428433531799,False,False,[0.39362883 0.24237352 0.47551837]
418.54041,200,41.114824,0.48073776910549976,False,False,[0.34707973 0.13830501 0.60984492]
654.197439,200,42.474786,0.47121158925289724,False,False,[0.48014628 0.20936067 0.49442271]
326.855334,200,43.856596,0.5634194261724694,False,False,[0.38503487 0.36192729 0.5103415 ]
536.927802,200,45.216372,0.48186223839829373,False,False,[0.63098563 0.13271486 0.36257516]
538.693013,200,47.182694,0.3458051089578087,False,False,[0.54513388 0.14571704 0.48420241]
475.571665,200,48.540577,0.7526517494334415,False,False,[0.49093508 0.31225577 0.55013156]
195.13813,200,49.883195,0.7324952320741366,False,False,[0.30279567 0.39719674 0.45568358]
200.596424,200,51.254979,0.9303187045520755,False,False,[0.62990622 0.42463796 0.32749907]
185.254682,200,52.631391,0.6304379140154389,False,False,[0.30625084 0.48316388 0.61482782]
166.60504,200,54.182,0.7190914750859486,False,False,[0.41575244 0.28979219 0.60319262]
597.09355,200,55.621047,0.33805417353027173,False,False,[0.49195568 0.26779253 0.3246191 ]
383.169126,200,57.010265,0.5129131503853488,False,False,[0.57069594 0.39345274 0.36100735]
274.175862,200,58.419766,0.5026667589687619,False,False,[0.37423544 0.30251613 0.54229565]
198.255426,200,59.875349,1.0578288291792126,False,False,[0.47108062 0.45846945 0.48042042]
630.661186,200,61.864915,0.23467687815193763,False,False,[0.56447547 0.31945425 0.32241781]
316.554607,200,63.295726,0.5900713043168567,False,False,[0.3739944  0.49201178 0.50958347]
191.750146,200,64.756989,0.7268044803304189,False,False,[0.48921853 0.23272057 0.5778408 ]
632.950394,200,66.138801,0.23920960081437087,False,False,[0.56107008 0.10874284 0.31886872]
380.234359,200,67.583185,0.44628230517406764,False,False,[0.49854841 0.26115052 0.46996184]
310.759597,200,69.0135,0.4681202816242398,False,False,[0.48437281 0.15001299 0.62117818]
460.623556,200,70.386833,0.554573796616145,False,False,[0.38612292 0.25071165 0.49427917]
373.759724,200,71.826256,0.4216273746740708,False,False,[0.44361454 0.27404937 0.51809242]
389.8818,200,73.259542,0.6594375744932403,False,False,[0.41088112 0.39161304 0.32437285]
506.876336,200,74.634431,0.3897786641705159,False,False,[0.47663055 0.20133961 0.4825074 ]
632.290318,200,76.068643,0.43661625088130285,False,False,[0.32386798 0.15971246 0.35283387]
228.828392,200,78.054205,0.5877328919007244,False,False,[0.61911934 0.2345144  0.4687425 ]
703.527026,200,79.486704,0.41690955583852246,False,False,[0.38226547 0.2445205  0.48263077]
373.020521,200,80.889635,0.3516779672137771,False,False,[0.47878423 0.3950382  0.44432167]
355.22103,200,82.331993,0.8322871274665323,False,False,[0.49873268 0.31333012 0.60716596]
650.128498,200,83.739979,0.30654653154761335,False,False,[0.49188226 0.33648804 0.3547919 ]
216.682723,200,85.167395,0.7130470516776715,False,False,[0.52011894 0.48359367 0.35070878]
