hyperparams/learning_rate,hyperparams/ent_coef,hyperparams/n_steps,hyperparams/clip_range,hyperparams/batch_size,hyperparams/seed,hyperparams/gamma,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/fps,train/entropy_loss,train/clip_fraction,train/loss,train/approx_kl,train/explained_variance,train/n_updates,train/clip_range,train/policy_gradient_loss,train/value_loss,train/std,train/learning_rate
5e-05,0.01,2048,0.2,512,2,0.99,,,,,,,,,,,,,,,,,
,,,,,,,99.7,356,1255.18156304,71680,35,200,-8.218593049049378,0.0,9806.9365234375,0.000809949,1.1920928955078125e-07,340,0.2,-0.0011401208641473204,21473.240185546874,0.9745964407920837,5e-05
,,,,,,,99.7,366,1283.60357161,73728,36,200,-8.21855890750885,0.0064453125,10597.45703125,0.0028065857,-1.1920928955078125e-07,350,0.2,-0.0018420974141918124,19098.954711914062,0.9745936393737793,5e-05
,,,,,,,99.56,377,1293.0489996099998,75776,37,200,-8.218524241447449,0.00185546875,12071.9482421875,0.002322994,-1.1920928955078125e-07,360,0.2,-0.001767780352383852,22602.73115234375,0.9745925068855286,5e-05
,,,,,,,99.56,388,1296.72902078,77824,38,200,-8.2185800075531,0.0,11597.3994140625,0.0011626508,0.0,370,0.2,-0.0009621386008802802,21740.088671875,0.9746170043945312,5e-05
,,,,,,,99.3,398,1314.94758128,79872,39,200,-8.218682289123535,0.0,10678.3154296875,0.00048187817,0.0,380,0.2,-0.0007410266145598144,20952.924609375,0.9746108055114746,5e-05
,,,,,,,99.3,408,1337.3633375000002,81920,40,200,-8.218674325942994,0.003955078125,9211.1826171875,0.0036329282,0.0,390,0.2,-0.002621197496773675,21391.3623046875,0.9746196866035461,5e-05
,,,,,,,99.3,418,1316.29327838,83968,41,200,-8.218770265579224,0.0,14422.36328125,0.00065201183,0.0,400,0.2,-0.0007594026305014267,24604.667236328125,0.974639892578125,5e-05
,,,,,,,99.74,430,1337.2467808899999,86016,42,200,-8.21892740726471,0.009326171875,8912.822265625,0.0050005666,-1.1920928955078125e-07,410,0.2,-0.0031356995488749815,16908.67629394531,0.9746711254119873,5e-05
,,,,,,,99.74,440,1366.60980023,88064,43,199,-8.219205069541932,0.00078125,11051.244140625,0.0014385632,0.0,420,0.2,-0.001784990617306903,21703.4759765625,0.9747417569160461,5e-05
,,,,,,,100.0,450,1394.27258845,90112,44,199,-8.219561243057251,0.0,12279.314453125,0.00065879175,1.1920928955078125e-07,430,0.2,-0.0009224946028552949,22938.48837890625,0.9747640490531921,5e-05
,,,,,,,100.0,461,1390.5422179799998,92160,45,199,-8.219628834724427,9.765625e-05,15962.1796875,0.001317236,0.0,440,0.2,-0.001252331375144422,31884.78251953125,0.9747747778892517,5e-05
,,,,,,,98.62,471,1345.7883377199998,94208,46,199,-8.219718289375304,0.0,10617.7861328125,0.00040129447,-1.1920928955078125e-07,450,0.2,-0.0007607465260662139,20863.7392578125,0.9747958183288574,5e-05
,,,,,,,98.48,482,1369.9641049500005,96256,47,199,-8.219899702072144,0.05810546875,13841.8134765625,0.008732408,0.0,460,0.2,-0.008564423461211845,29417.169287109376,0.9748051762580872,5e-05
,,,,,,,98.48,493,1330.0750620000001,98304,48,199,-8.220033168792725,0.0060546875,11254.861328125,0.0032872243,-2.384185791015625e-07,470,0.2,-0.0015584020569804125,21162.641162109376,0.9748110771179199,5e-05
,,,,,,,98.48,503,1289.0065426800002,100352,49,199,-8.22005774974823,0.000146484375,8696.2724609375,0.0017645182,-1.1920928955078125e-07,480,0.2,-0.0013039080600719898,19832.976293945314,0.9748196601867676,5e-05
,,,,,,,99.7,513,1288.7167924,102400,50,199,-8.220125293731689,0.003515625,10937.77734375,0.0036213356,0.0,490,0.2,-0.0026876993244513868,18943.456420898438,0.9748418927192688,5e-05
,,,,,,,99.78,524,1322.6262588499999,104448,51,199,-8.22014844417572,0.0296875,13302.580078125,0.0049148197,5.960464477539063e-08,500,0.2,-0.0031461866601603106,23329.75810546875,0.9748556017875671,5e-05
,,,,,,,99.63,534,1320.02008783,106496,52,199,-8.220151996612548,0.01591796875,11288.15625,0.005080653,0.0,510,0.2,-0.0026155926461797208,20221.11328125,0.9748669266700745,5e-05
,,,,,,,99.25,545,1295.26943664,108544,53,199,-8.22014045715332,0.000634765625,11624.833984375,0.0017853241,-1.1920928955078125e-07,520,0.2,-0.0016991975426208228,23094.50576171875,0.9748592376708984,5e-05
,,,,,,,99.25,555,1331.7967993000002,110592,54,199,-8.22035322189331,0.022607421875,9811.7001953125,0.0034014746,0.0,530,0.2,-0.0025587178650312127,16992.31337890625,0.9749857783317566,5e-05
,,,,,,,99.33,565,1363.8373927300001,112640,55,199,-8.220885634422302,4.8828125e-05,12087.36328125,0.00083285285,-1.1920928955078125e-07,540,0.2,-0.0010200685879681259,25155.341162109376,0.9750186800956726,5e-05
,,,,,,,99.33,575,1366.5927526799999,114688,56,199,-8.220888686180114,0.0,12990.5380859375,0.00057315093,-1.1920928955078125e-07,550,0.2,-0.0009860799240414054,23912.378955078126,0.9750254154205322,5e-05
,,,,,,,99.3,585,1370.1621119200001,116736,57,199,-8.22083284854889,0.017822265625,9117.76953125,0.004431596,0.0,560,0.2,-0.0029660945117939265,17824.827685546876,0.9750115275382996,5e-05
,,,,,,,99.17,595,1375.41191891,118784,58,199,-8.220693135261536,0.003857421875,12564.630859375,0.0017048412,-1.1920928955078125e-07,570,0.2,-0.002116296550957486,25409.627099609374,0.9749835133552551,5e-05
,,,,,,,99.1,606,1360.70171052,120832,59,199,-8.220370388031006,0.0025390625,10930.8134765625,0.0019303999,0.0,580,0.2,-0.0014603185933083295,22732.980908203124,0.9749153256416321,5e-05
,,,,,,,98.54,616,1348.7750817999997,122880,60,199,-8.220056819915772,0.0,13392.88671875,0.00069341576,-1.1920928955078125e-07,590,0.2,-0.000532929867040366,26476.309814453125,0.974932849407196,5e-05
,,,,,,,98.54,626,1355.5409109900002,124928,61,199,-8.220095133781433,0.01572265625,8380.857421875,0.0054154424,-1.1920928955078125e-07,600,0.2,-0.0024877895251847804,17505.737451171874,0.9749247431755066,5e-05
,,,,,,,98.86,636,1341.6830360899999,126976,62,199,-8.219884634017944,0.006396484375,9872.1513671875,0.004356699,-1.1920928955078125e-07,610,0.2,-0.0032514016289496793,17532.7376953125,0.9748768210411072,5e-05
,,,,,,,99.37,646,1352.1808513300002,129024,63,199,-8.219716119766236,0.00322265625,9718.7734375,0.0033294102,-1.1920928955078125e-07,620,0.2,-0.0023916436824947596,20892.733544921874,0.9748879075050354,5e-05
,,,,,,,98.91,657,1336.0075925400001,131072,64,199,-8.219751572608947,0.008251953125,9733.111328125,0.004116892,1.1920928955078125e-07,630,0.2,-0.002062804173328914,18999.329052734374,0.9748759269714355,5e-05
,,,,,,,99.3,667,1322.0252978899998,133120,65,199,-8.219627809524535,0.0005859375,11450.5625,0.0012364576,0.0,640,0.2,-0.0008019936838536523,21984.8939453125,0.9748613238334656,5e-05
,,,,,,,99.3,677,1330.20915054,135168,66,199,-8.21964328289032,0.036083984375,10490.9638671875,0.00576252,1.1920928955078125e-07,650,0.2,-0.005326052475720644,22041.57822265625,0.9749090075492859,5e-05
,,,,,,,99.3,687,1315.1236004999998,137216,67,199,-8.220060467720032,0.001220703125,8451.861328125,0.0023869681,0.0,660,0.2,-0.0017693462606985122,19258.60361328125,0.9750475883483887,5e-05
,,,,,,,99.54,697,1278.47549219,139264,68,199,-8.220700407028199,0.023681640625,8273.736328125,0.0054751867,0.0,670,0.2,-0.0027336816827300938,15990.468017578125,0.9751086235046387,5e-05
,,,,,,,99.62,707,1248.86569403,141312,69,199,-8.220750856399537,0.018603515625,10011.9775390625,0.005928532,0.0,680,0.2,-0.0030560626764781773,19932.821923828124,0.9750862717628479,5e-05
,,,,,,,99.79,718,1283.2446984800001,143360,70,199,-8.221341967582703,0.10439453125,7512.923828125,0.0056913,5.960464477539063e-08,690,0.2,-0.002151044295169413,16348.600219726562,0.9754406809806824,5e-05
,,,,,,,99.79,728,1286.7578033300001,145408,71,199,-8.22379674911499,0.016943359375,10867.505859375,0.0018715214,1.1920928955078125e-07,700,0.2,0.002758440250181593,21952.840869140626,0.9756748080253601,5e-05
,,,,,,,99.73,738,1322.55519004,147456,72,199,-8.224247217178345,0.0294921875,14131.2099609375,0.0054381345,0.0,710,0.2,-0.0033605342672672124,28309.93037109375,0.9757323861122131,5e-05
,,,,,,,99.23,748,1365.4792712299998,149504,73,199,-8.224421834945678,0.0021484375,14395.9892578125,0.0028852797,0.0,720,0.2,-0.0020714055397547783,25657.530810546876,0.9757235050201416,5e-05
,,,,,,,99.14,758,1420.0554876800004,151552,74,199,-8.224242639541625,0.000341796875,10300.7353515625,0.0016435388,0.0,730,0.2,-0.001169780141208321,18573.8677734375,0.9756701588630676,5e-05
,,,,,,,99.14,768,1382.00924146,153600,75,199,-8.224156045913697,0.0,12112.2587890625,0.00074230065,-2.384185791015625e-07,740,0.2,-0.000734061817638576,24874.460107421874,0.9757116436958313,5e-05
,,,,,,,99.2,779,1386.0748441099997,155648,76,199,-8.224804329872132,0.035693359375,6423.2197265625,0.003883469,0.0,750,0.2,-0.004356098704738543,13520.348559570313,0.9758933186531067,5e-05
,,,,,,,99.11,789,1409.32837474,157696,77,199,-8.225412034988404,0.0017578125,13296.3115234375,0.00225938,0.0,760,0.2,-0.0008951315365266054,28381.8970703125,0.9758808612823486,5e-05
,,,,,,,99.91,799,1387.1057208800003,159744,78,199,-8.225244116783141,0.00498046875,12382.0849609375,0.002435364,-2.384185791015625e-07,770,0.2,-0.0021163428318686783,24722.572412109374,0.9758822321891785,5e-05
,,,,,,,99.91,809,1351.02999368,161792,79,199,-8.225319075584412,0.0287109375,7192.0966796875,0.0055742403,5.960464477539063e-08,780,0.2,-0.003431168053066358,15230.321435546875,0.9758957028388977,5e-05
,,,,,,,99.64,819,1401.8239462899999,163840,80,199,-8.225207352638245,0.0056640625,6219.9521484375,0.0038958164,0.0,790,0.2,-0.0019510097044985741,14704.89501953125,0.9758240580558777,5e-05
,,,,,,,99.64,829,1422.05358092,165888,81,199,-8.224985694885254,0.000830078125,12063.91796875,0.002320557,5.960464477539063e-08,800,0.2,-0.0014056683197850362,26507.018359375,0.9758092761039734,5e-05
,,,,,,,99.73,840,1422.2128467,167936,82,199,-8.225133562088013,0.0,16101.66015625,0.00048215283,-1.1920928955078125e-07,810,0.2,-0.0007743119407678023,34669.5115234375,0.9758718013763428,5e-05
,,,,,,,99.47,850,1476.6559763300002,169984,83,199,-8.225362205505371,0.000439453125,13462.55859375,0.0012294493,0.0,820,0.2,-0.0013639171433169396,25309.149365234374,0.9758742451667786,5e-05
,,,,,,,99.47,860,1494.25890751,172032,84,199,-8.225315356254578,0.000244140625,15067.740234375,0.0018242497,0.0,830,0.2,-0.0010241214942652733,30664.034814453124,0.9758803248405457,5e-05
,,,,,,,99.74,871,1479.25454997,174080,85,199,-8.225731658935548,0.035986328125,8912.4892578125,0.006394479,0.0,840,0.2,-0.004730305337579921,15793.793334960938,0.9760454297065735,5e-05
,,,,,,,99.47,882,1423.4895784299997,176128,86,199,-8.226515245437621,0.0029296875,10240.96484375,0.00334547,0.0,850,0.2,-0.0018889248254708945,20203.582861328126,0.976116955280304,5e-05
,,,,,,,99.73,892,1346.6896522700001,178176,87,199,-8.226813745498657,0.0220703125,12891.6630859375,0.005205063,-1.1920928955078125e-07,860,0.2,-0.002985455867019482,24974.111962890624,0.976203978061676,5e-05
,,,,,,,99.52,902,1353.9100712900001,180224,88,199,-8.227398324012757,0.03828125,9385.9404296875,0.0043640006,0.0,870,0.2,-0.004232547746505588,16606.340087890625,0.9763519167900085,5e-05
,,,,,,,99.52,913,1409.52059748,182272,89,199,-8.227836632728577,0.0111328125,12878.2138671875,0.0049692756,-1.1920928955078125e-07,880,0.2,-0.0025600894063245506,29472.17158203125,0.9763757586479187,5e-05
,,,,,,,99.52,924,1391.88475797,184320,90,199,-8.227801966667176,0.00830078125,12450.5419921875,0.004099804,0.0,890,0.2,-0.0023755610280204566,21633.137646484374,0.976386547088623,5e-05
,,,,,,,98.63,934,1379.88882304,186368,91,199,-8.227639365196229,0.03046875,7283.1484375,0.0056536095,-1.1920928955078125e-07,900,0.2,-0.003607435815501958,14553.430517578125,0.9763393998146057,5e-05
,,,,,,,98.54,944,1405.3279819499999,188416,92,199,-8.227070236206055,0.031787109375,13744.1953125,0.004122786,-1.1920928955078125e-07,910,0.2,-0.004716496194305364,32710.011083984376,0.976299524307251,5e-05
,,,,,,,98.75,955,1359.55062324,190464,93,199,-8.22694137096405,0.03740234375,9973.8349609375,0.0069788536,-1.1920928955078125e-07,920,0.2,-0.003751770849339664,20598.994677734376,0.97633957862854,5e-05
,,,,,,,98.75,966,1347.4778027800003,192512,94,199,-8.226886630058289,0.044189453125,8181.11181640625,0.005039886,0.0,930,0.2,-0.005177366634598002,15066.86845703125,0.9763396382331848,5e-05
,,,,,,,97.94,976,1330.22884316,194560,95,199,-8.226590609550476,0.0025390625,9406.1611328125,0.0030709025,-1.1920928955078125e-07,940,0.2,-0.0017943181737791747,20013.30732421875,0.9763384461402893,5e-05
,,,,,,,99.01,986,1330.8683797699998,196608,96,199,-8.226298403739928,0.046630859375,10819.884765625,0.004348902,0.0,950,0.2,-0.004448560124728829,24290.00224609375,0.9762730598449707,5e-05
,,,,,,,98.59,997,1285.8096191299999,198656,97,199,-8.225892901420593,0.016552734375,13230.0,0.0035939198,0.0,960,0.2,-0.0030175969644915313,23765.2716796875,0.9762266278266907,5e-05
,,,,,,,98.48,1008,1322.1273707900002,200704,98,199,-8.228169894218444,0.114697265625,9725.5517578125,0.007940172,0.0,970,0.2,-0.0052386797731742265,20854.062109375,0.9771728515625,5e-05
,,,,,,,98.41,1018,1332.60336484,202752,99,199,-8.232963752746581,0.007421875,10967.6826171875,0.0026773065,5.960464477539063e-08,980,0.2,-0.002014494623290375,18930.251611328124,0.9774683117866516,5e-05
,,,,,,,99.22,1028,1360.1222813099998,204800,100,199,-8.23330864906311,0.037646484375,12960.7216796875,0.0052852724,5.960464477539063e-08,990,0.2,-0.004285850343876518,27536.369189453126,0.977401077747345,5e-05
,,,,,,,99.31,1038,1347.4728875500002,206848,101,199,-8.233173966407776,0.01279296875,9863.671875,0.0057092216,0.0,1000,0.2,-0.0030881359067279845,20200.731689453125,0.9774336814880371,5e-05
,,,,,,,99.82,1048,1383.5746109800002,208896,102,199,-8.233527970314025,0.039794921875,8584.7880859375,0.0066796727,0.0,1010,0.2,-0.004487042353139259,14642.189965820313,0.9775052070617676,5e-05
,,,,,,,100.0,1058,1378.1802409999998,210944,103,199,-8.233731126785278,0.016943359375,10390.6845703125,0.00510287,-1.1920928955078125e-07,1020,0.2,-0.003054345105192624,20838.145556640626,0.9775956273078918,5e-05
,,,,,,,99.71,1069,1397.9923145400003,212992,104,199,-8.233967232704163,0.001171875,14990.6923828125,0.0020016346,0.0,1030,0.2,-0.0018422310880851001,26033.582080078126,0.9776158928871155,5e-05
,,,,,,,99.33,1079,1414.5900613,215040,105,199,-8.234132647514343,0.022412109375,13062.6923828125,0.0060485043,0.0,1040,0.2,-0.004109758374397643,23823.33935546875,0.9776539206504822,5e-05
,,,,,,,99.33,1089,1455.8809776399999,217088,106,199,-8.234004282951355,0.00205078125,11252.3681640625,0.0025288435,0.0,1050,0.2,-0.0016832939174491913,23243.4029296875,0.9775927662849426,5e-05
,,,,,,,99.33,1099,1463.71592899,219136,107,199,-8.233699536323547,0.0083984375,12088.498046875,0.0036540744,-1.1920928955078125e-07,1060,0.2,-0.0024646966252475978,25358.8859375,0.9776480197906494,5e-05
,,,,,,,99.33,1109,1490.0322412000003,221184,108,199,-8.234039878845214,0.015576171875,12207.1416015625,0.0055192756,0.0,1070,0.2,-0.0018969230557559058,24332.963623046875,0.9776923060417175,5e-05
,,,,,,,99.99,1120,1511.3609154699998,223232,109,199,-8.234160423278809,0.00673828125,16008.33984375,0.0042197714,-1.1920928955078125e-07,1080,0.2,-0.0028524722962174564,32351.06943359375,0.9776987433433533,5e-05
,,,,,,,100.0,1130,1506.8753670300002,225280,110,199,-8.234037375450134,0.01201171875,13951.126953125,0.00506486,0.0,1090,0.2,-0.002973537007346749,26694.75390625,0.9776633381843567,5e-05
,,,,,,,99.89,1140,1487.28927325,227328,111,199,-8.233828568458557,0.0001953125,12137.8818359375,0.0010280341,0.0,1100,0.2,-0.0008814751810859889,22647.56923828125,0.9776436686515808,5e-05
,,,,,,,99.44,1150,1489.75468599,229376,112,199,-8.233779764175415,0.0162109375,10923.7880859375,0.003693426,-1.1920928955078125e-07,1110,0.2,-0.002645685925381258,19761.303857421874,0.977635383605957,5e-05
,,,,,,,99.44,1160,1458.23021108,231424,113,199,-8.233682799339295,0.0294921875,17024.18359375,0.0055267205,0.0,1120,0.2,-0.005184379126876593,26738.924853515626,0.9776139259338379,5e-05
,,,,,,,99.38,1171,1432.75530258,233472,114,199,-8.233484983444214,0.016015625,10584.310546875,0.0056378273,-1.1920928955078125e-07,1130,0.2,-0.0026415980886667968,20327.894580078126,0.9776114821434021,5e-05
,,,,,,,99.38,1181,1439.7821892899997,235520,115,199,-8.233158206939697,0.036083984375,12056.2919921875,0.0057554464,0.0,1140,0.2,-0.00435603475489188,21341.63583984375,0.9775292277336121,5e-05
,,,,,,,98.51,1191,1466.12876448,237568,116,199,-8.232732653617859,0.00625,11486.361328125,0.0038023028,-1.1920928955078125e-07,1150,0.2,-0.0018851669854484498,23777.4142578125,0.9775345325469971,5e-05
,,,,,,,98.84,1201,1429.9380455500002,239616,117,199,-8.233097863197326,0.025048828125,16062.1826171875,0.0036991374,-1.1920928955078125e-07,1160,0.2,-0.004446504905354231,33479.28330078125,0.9776351451873779,5e-05
,,,,,,,97.97,1212,1463.51741567,241664,118,199,-8.23358736038208,0.059130859375,6180.634765625,0.0054496387,-1.1920928955078125e-07,1170,0.2,-0.0062772471574135125,14007.416772460938,0.9776548743247986,5e-05
,,,,,,,97.79,1222,1471.02988224,243712,119,199,-8.233565878868102,0.000439453125,16107.734375,0.0015076397,0.0,1180,0.2,-0.0011919713928364218,31315.104150390624,0.9776437878608704,5e-05
,,,,,,,98.57,1232,1494.4380322100008,245760,120,199,-8.23409333229065,0.044189453125,7747.05810546875,0.005359602,0.0,1190,0.2,-0.005370356939965859,14240.107983398437,0.977872908115387,5e-05
,,,,,,,98.77,1242,1473.2852355100001,247808,121,199,-8.235112476348878,0.0001953125,14365.3193359375,0.0014227083,-1.1920928955078125e-07,1200,0.2,-0.0017925415188074112,28114.197998046875,0.9779002666473389,5e-05
,,,,,,,99.14,1252,1486.7654402100004,249856,122,199,-8.235213446617127,0.06298828125,11895.275390625,0.0053738775,0.0,1210,0.2,-0.005168540735030547,23344.208447265624,0.9779601097106934,5e-05
,,,,,,,100.0,1262,1446.22018261,251904,123,199,-8.235729765892028,0.017529296875,9735.3701171875,0.0046128645,1.1920928955078125e-07,1220,0.2,-0.0028652989742113276,18757.75400390625,0.9781408309936523,5e-05
,,,,,,,99.17,1273,1480.0046034500003,253952,124,199,-8.236359524726868,0.0052734375,12775.6435546875,0.0041182158,-1.1920928955078125e-07,1230,0.2,-0.0025614213082008064,24091.26474609375,0.9782195091247559,5e-05
,,,,,,,99.17,1283,1398.8314917000002,256000,125,199,-8.236509704589844,0.00322265625,13977.9287109375,0.0034027693,0.0,1240,0.2,-0.0017218700580997393,28545.86669921875,0.9782471060752869,5e-05
,,,,,,,98.94,1293,1389.9526657899999,258048,126,199,-8.23634159564972,0.029052734375,8941.7275390625,0.0048663677,1.1920928955078125e-07,1250,0.2,-0.0037572159577393903,18204.154565429686,0.9780752062797546,5e-05
,,,,,,,98.94,1303,1372.53102285,260096,127,199,-8.235905742645263,0.034619140625,10747.7177734375,0.0054483307,1.7881393432617188e-07,1260,0.2,-0.005080256919609383,21350.79208984375,0.9780035614967346,5e-05
,,,,,,,98.94,1313,1333.4499611600002,262144,128,199,-8.236099982261658,0.02607421875,9680.0068359375,0.005498215,0.0,1270,0.2,-0.0037513364455662667,18677.736108398436,0.9779761433601379,5e-05
,,,,,,,99.77,1323,1292.22610343,264192,129,199,-8.235863947868348,0.04892578125,7285.91064453125,0.0060844137,0.0,1280,0.2,-0.005751572968438268,15809.878295898438,0.9778509140014648,5e-05
