hyperparams/learning_rate,hyperparams/n_steps,hyperparams/ent_coef,hyperparams/seed,hyperparams/clip_range,hyperparams/batch_size,hyperparams/gamma,time/time_elapsed,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,train/learning_rate,train/value_loss,train/entropy_loss,train/n_updates,train/std,train/approx_kl,train/loss,train/clip_fraction,train/clip_range,train/explained_variance,train/policy_gradient_loss
0.0003,256,0.02,1,0.2,64,0.99,,,,,,,,,,,,,,,,,
,,,,,,,134,1,36.789498,22.454545454545453,1,256,,,,,,,,,,,
,,,,,,,269,2,33.748743347826085,21.608695652173914,1,512,0.0003,26615.069775390624,-8.884753894805907,10,1.1057082414627075,0.0077818665,4235.109375,0.024609375,0.2,0.45036160945892334,-0.007860781031195075
,,,,,,,404,3,32.87537254285715,21.65714285714286,1,768,0.0003,4841.228085327149,-8.885263085365295,20,1.1057548522949219,0.016349006,250.13720703125,0.09296875,0.2,-1.1104724407196045,-0.012780457548797131
,,,,,,,538,4,35.132137391304354,22.195652173913043,1,1024,0.0003,501.81475868225095,-8.883460092544556,30,1.1034666299819946,0.029637575,67.8425064086914,0.296484375,0.2,0.19079577922821045,-0.0024560621473938226
,,,,,,,671,5,37.88195947169811,23.71698113207547,1,1280,0.0003,171.18068885803223,-8.871865153312683,40,1.1011855602264404,0.06603415,24.591909408569336,0.371484375,0.2,0.5930829048156738,-0.018284004856832327
,,,,,,,802,6,39.1395316779661,24.508474576271187,1,1536,0.0003,5541.883874511719,-8.866079211235046,50,1.1005977392196655,0.024377787,1180.3555908203125,0.3875,0.2,0.4210129976272583,0.004929995466955006
,,,,,,,936,7,40.835055970588236,25.264705882352942,1,1792,0.0003,3259.103988647461,-8.866136717796326,60,1.0999821424484253,0.008866478,391.280517578125,0.0484375,0.2,-0.6836830377578735,-0.010036912490613758
,,,,,,,1068,8,50.739342581081075,27.66216216216216,1,2048,0.0003,958.312009048462,-8.866998887062072,70,1.1012697219848633,0.017347213,359.7404479980469,0.165625,0.2,0.5332081615924835,-0.027620311081409454
,,,,,,,1202,9,57.972859532467524,28.90909090909091,1,2304,0.0003,2394.8482192993165,-8.875786972045898,80,1.1029499769210815,0.018943889,1335.6898193359375,0.15234375,0.2,0.15513825416564941,-0.022289824625477194
,,,,,,,1334,10,59.31043580722891,30.602409638554217,1,2560,0.0003,2306.633752441406,-8.882207584381103,90,1.1039098501205444,0.024979062,1377.483154296875,0.202734375,0.2,0.48745614290237427,-0.02261041149031371
,,,,,,,1466,11,62.742475241758235,30.571428571428573,1,2816,0.0003,671.5026584625244,-8.887908601760865,100,1.1044315099716187,0.023889571,178.49583435058594,0.220703125,0.2,0.7408047020435333,-0.013575623650103808
,,,,,,,1597,12,64.94064284210526,31.852631578947367,1,3072,0.0003,3527.944970703125,-8.890403866767883,110,1.1039189100265503,0.016509602,1179.4132080078125,0.07734375,0.2,0.03447002172470093,-0.01598808205453679
