#{"t_start": 1741526076.7943435, "env_id": "None"}
r,l,t,distance_to_target,collision,reached_goal,target
45.176748,22,12.827685,0.40098390876119905,True,False,[0.3 0.  0.5]
57.018201,22,24.380615,0.4114363965240358,True,False,[0.3 0.  0.5]
84.167373,36,42.964883,0.5165978609597297,True,False,[0.3 0.  0.5]
25.608297,20,53.511721,0.40563125948710516,True,False,[0.3 0.  0.5]
27.95385,22,65.066062,0.4327374303949124,True,False,[0.3 0.  0.5]
27.2195,19,75.10816,0.40923504258668825,True,False,[0.3 0.  0.5]
25.388549,21,86.154775,0.40174845653670926,True,False,[0.3 0.  0.5]
26.620131,21,97.203305,0.4021528278563025,True,False,[0.3 0.  0.5]
31.558195,21,108.251076,0.3577778263594694,True,False,[0.3 0.  0.5]
25.97003,22,119.799459,0.4065022465600302,True,False,[0.3 0.  0.5]
28.003604,21,130.84748,0.3975204564245352,True,False,[0.3 0.  0.5]
25.891803,20,141.670038,0.421245639614621,True,False,[0.3 0.  0.5]
29.452847,19,151.71439,0.3729853725323866,True,False,[0.3 0.  0.5]
30.247515,21,162.764669,0.399574124621333,True,False,[0.3 0.  0.5]
29.168687,20,173.309107,0.389958085100001,True,False,[0.3 0.  0.5]
47.386356,22,184.856837,0.45960763717200664,True,False,[0.3 0.  0.5]
28.185435,21,195.904091,0.4203840373101949,True,False,[0.3 0.  0.5]
35.542244,21,206.950024,0.41009477863160493,True,False,[0.3 0.  0.5]
25.342798,21,217.996737,0.42707256925972636,True,False,[0.3 0.  0.5]
38.355994,22,229.547866,0.3851767211744071,True,False,[0.3 0.  0.5]
27.11863,21,240.595543,0.44247147949434307,True,False,[0.3 0.  0.5]
27.779996,20,251.138374,0.38062116642008154,True,False,[0.3 0.  0.5]
27.064314,22,262.688121,0.4618606705537145,True,False,[0.3 0.  0.5]
27.263277,20,273.501066,0.37711360495664537,True,False,[0.3 0.  0.5]
67.294475,23,285.553952,0.39913594354795867,True,False,[0.3 0.  0.5]
30.051505,22,297.105862,0.4152300183800037,True,False,[0.3 0.  0.5]
22.852289,21,308.155572,0.42614548331890767,True,False,[0.3 0.  0.5]
37.380621,24,320.715179,0.4138167487228449,True,False,[0.3 0.  0.5]
25.223772,22,332.268071,0.3827639471921289,True,False,[0.3 0.  0.5]
27.740664,23,344.323943,0.41465028948459204,True,False,[0.3 0.  0.5]
25.657048,22,355.872291,0.4427297953924687,True,False,[0.3 0.  0.5]
31.585272,20,366.42024,0.40819244008505307,True,False,[0.3 0.  0.5]
27.405416,23,378.472826,0.43875831023060746,True,False,[0.3 0.  0.5]
29.112675,21,389.521643,0.403105005186906,True,False,[0.3 0.  0.5]
22.849928,20,400.066005,0.4225279334490636,True,False,[0.3 0.  0.5]
122.824015,39,420.423862,0.4755646352400252,True,False,[0.3 0.  0.5]
20.302359,21,431.470043,0.47572216402692197,True,False,[0.3 0.  0.5]
37.49058,25,444.532182,0.43635918252461287,True,False,[0.3 0.  0.5]
27.328295,21,455.577897,0.44804648565996474,True,False,[0.3 0.  0.5]
31.082,22,467.12672,0.4152186746946248,True,False,[0.3 0.  0.5]
42.71439,23,479.17949,0.4091913183221104,True,False,[0.3 0.  0.5]
36.509199,24,491.732228,0.41680134583905015,True,False,[0.3 0.  0.5]
25.214017,21,502.780861,0.4149849018655206,True,False,[0.3 0.  0.5]
33.763515,22,514.331071,0.41302341940003484,True,False,[0.3 0.  0.5]
34.239594,21,525.377293,0.4586967890623735,True,False,[0.3 0.  0.5]
53.972317,24,537.934024,0.4214117359802012,True,False,[0.3 0.  0.5]
39.976529,25,551.256778,0.4647423566307979,True,False,[0.3 0.  0.5]
25.961282,24,563.813573,0.42224655709357645,True,False,[0.3 0.  0.5]
180.806603,88,608.502531,0.7347642467593658,True,False,[0.3 0.  0.5]
33.793704,22,620.055219,0.4324090511091737,True,False,[0.3 0.  0.5]
