#{"t_start": 1742757012.870531, "env_id": "None"}
r,l,t,distance_to_target,collision,reached_goal,target
154.390849,100,3.075078,0.39318828250308346,False,False,[0.5 0.1 0.3]
154.390851,100,5.180336,0.3931882786113804,False,False,[0.5 0.1 0.3]
28.691285,82,7.275698,0.31549538056904464,True,False,[0.5 0.1 0.3]
316.073803,100,7.506283,0.4242396736809936,False,False,[0.5 0.1 0.3]
367.103765,100,7.733152,0.18516079660412602,False,False,[0.5 0.1 0.3]
275.632657,100,7.961171,0.24331247043041837,False,False,[0.5 0.1 0.3]
224.470549,84,8.161608,0.3756196575155106,True,False,[0.5 0.1 0.3]
243.603429,100,8.386959,0.47361407486687657,False,False,[0.5 0.1 0.3]
384.978142,100,8.603436,0.26549709795177345,False,False,[0.5 0.1 0.3]
223.816158,100,8.817462,0.5410346381134882,False,False,[0.5 0.1 0.3]
124.529773,54,8.991663,0.22706418616008847,True,False,[0.5 0.1 0.3]
281.303865,100,9.217581,0.2665818911101411,False,False,[0.5 0.1 0.3]
149.714618,63,9.403734,0.27483144219924566,True,False,[0.5 0.1 0.3]
446.943305,100,9.725979,0.11531970981878645,False,False,[0.5 0.1 0.3]
334.238981,100,9.949431,0.34637768820469095,False,False,[0.5 0.1 0.3]
213.154229,84,10.149013,0.38700095606794493,True,False,[0.5 0.1 0.3]
218.433936,100,10.471942,0.5625128593692216,False,False,[0.5 0.1 0.3]
335.281906,100,10.693292,0.220199513041494,False,False,[0.5 0.1 0.3]
508.796843,100,10.906043,0.14778307727139262,False,False,[0.5 0.1 0.3]
391.521315,100,11.125897,0.19728452229085017,False,False,[0.5 0.1 0.3]
475.901994,100,11.344138,0.25841188364181217,False,False,[0.5 0.1 0.3]
451.14199,100,12.051479,0.12639206105823317,False,False,[0.5 0.1 0.3]
351.649735,100,12.274797,0.2835725039065149,False,False,[0.5 0.1 0.3]
559.287858,100,12.496146,0.07902569037455959,False,False,[0.5 0.1 0.3]
68.421952,37,12.65637,0.25041904193198133,True,False,[0.5 0.1 0.3]
178.914536,65,12.831788,0.2880994896050345,True,False,[0.5 0.1 0.3]
341.266917,100,13.053072,0.21932709828808186,False,False,[0.5 0.1 0.3]
348.195707,100,13.411014,0.1361473124449445,False,False,[0.5 0.1 0.3]
396.960925,100,13.631418,0.10839872856711301,False,False,[0.5 0.1 0.3]
394.069206,100,13.8548,0.11704943261368561,False,False,[0.5 0.1 0.3]
255.035413,100,14.07372,0.4713962226355773,False,False,[0.5 0.1 0.3]
364.083198,100,14.292822,0.3282444995866675,False,False,[0.5 0.1 0.3]
411.014555,100,14.521199,0.1537422691413564,False,False,[0.5 0.1 0.3]
157.08122,89,14.728815,0.3069654686367129,True,False,[0.5 0.1 0.3]
354.538887,100,14.946826,0.3070594116233365,False,False,[0.5 0.1 0.3]
227.1332,86,15.153913,0.23014994068636396,True,False,[0.5 0.1 0.3]
243.678878,100,15.368999,0.4568917872176272,False,False,[0.5 0.1 0.3]
315.7798,100,15.589919,0.3001141012107412,False,False,[0.5 0.1 0.3]
461.644614,100,15.813125,0.11380247052262397,False,False,[0.5 0.1 0.3]
219.89206,95,16.051538,0.40037354610032955,True,False,[0.5 0.1 0.3]
160.63571,65,16.336474,0.23144063856360272,True,False,[0.5 0.1 0.3]
206.288189,64,16.52185,0.24056826825331196,True,False,[0.5 0.1 0.3]
330.300759,100,16.747629,0.15108831562784897,False,False,[0.5 0.1 0.3]
345.180843,100,16.971369,0.16856574694050583,False,False,[0.5 0.1 0.3]
297.475828,97,17.668124,0.3377336276024481,True,False,[0.5 0.1 0.3]
525.222754,100,18.001205,0.08449598275378974,False,False,[0.5 0.1 0.3]
437.79217,100,18.228779,0.19420926629287197,False,False,[0.5 0.1 0.3]
361.763333,100,18.453943,0.25748520018239407,False,False,[0.5 0.1 0.3]
347.720324,100,18.774204,0.18914086952809317,False,False,[0.5 0.1 0.3]
422.657853,100,18.99172,0.17625548276191919,False,False,[0.5 0.1 0.3]
172.432535,67,19.183148,0.24746444112267027,True,False,[0.5 0.1 0.3]
451.519832,100,19.40542,0.17312545351756478,False,False,[0.5 0.1 0.3]
366.192682,100,19.740739,0.1355581846160576,False,False,[0.5 0.1 0.3]
250.591067,100,19.957727,0.5198300658586179,False,False,[0.5 0.1 0.3]
288.524407,100,20.178156,0.3158767705049495,False,False,[0.5 0.1 0.3]
279.31416,100,20.399244,0.29671855931471874,False,False,[0.5 0.1 0.3]
498.012745,100,20.62455,0.0890162117462144,False,False,[0.5 0.1 0.3]
301.034655,100,20.855088,0.3152279046983954,False,False,[0.5 0.1 0.3]
386.74674,100,21.077944,0.17997714706553197,False,False,[0.5 0.1 0.3]
377.543194,100,21.29874,0.14031600737754674,False,False,[0.5 0.1 0.3]
239.547787,100,21.525239,0.3820381820413901,False,False,[0.5 0.1 0.3]
395.362944,100,21.745937,0.28848621417412157,False,False,[0.5 0.1 0.3]
620.783761,100,22.056059,0.2741608080965302,False,False,[0.5 0.1 0.3]
323.503874,100,22.359563,0.1954992359045127,False,False,[0.5 0.1 0.3]
352.17214,100,22.691878,0.22567112868209957,False,False,[0.5 0.1 0.3]
300.392571,100,23.446059,0.2530176913832508,False,False,[0.5 0.1 0.3]
158.212075,69,23.662951,0.3037474835917665,True,False,[0.5 0.1 0.3]
396.199135,100,23.967626,0.24254990563732098,False,False,[0.5 0.1 0.3]
390.636111,100,24.182094,0.22663180068881594,False,False,[0.5 0.1 0.3]
318.412113,100,24.465758,0.2319386519263457,False,False,[0.5 0.1 0.3]
335.274768,100,24.699075,0.46373597321444743,False,False,[0.5 0.1 0.3]
232.365874,88,24.937284,0.3077298485461113,True,False,[0.5 0.1 0.3]
369.999644,100,25.173675,0.23523361513729904,False,False,[0.5 0.1 0.3]
339.363911,100,25.401167,0.2465362339202059,False,False,[0.5 0.1 0.3]
330.331914,100,25.624943,0.21351074550716134,False,False,[0.5 0.1 0.3]
375.297627,100,25.948479,0.3730814448608024,False,False,[0.5 0.1 0.3]
433.639856,100,26.184975,0.2266569629393551,False,False,[0.5 0.1 0.3]
385.252388,100,26.402712,0.11846374871134172,False,False,[0.5 0.1 0.3]
346.509734,100,26.6341,0.17402378109361225,False,False,[0.5 0.1 0.3]
417.42825,100,26.852872,0.08695695471347234,False,False,[0.5 0.1 0.3]
370.568733,100,27.129788,0.16725345651669007,False,False,[0.5 0.1 0.3]
260.442175,33,27.289944,0.22736123628261637,True,False,[0.5 0.1 0.3]
65.402072,43,27.47884,0.34982011097451804,True,False,[0.5 0.1 0.3]
352.185794,100,27.744263,0.2184457169080987,False,False,[0.5 0.1 0.3]
423.96791,100,27.989042,0.254651733057811,False,False,[0.5 0.1 0.3]
212.669473,86,28.207474,0.22483465409203646,True,False,[0.5 0.1 0.3]
455.518932,100,28.450448,0.22072038163786317,False,False,[0.5 0.1 0.3]
214.800512,59,29.107365,0.21584271396890511,True,False,[0.5 0.1 0.3]
287.79845,100,29.349263,0.3941342109830149,False,False,[0.5 0.1 0.3]
383.16801,100,29.581911,0.07379411858551707,False,False,[0.5 0.1 0.3]
287.477858,100,29.811246,0.25302184320132554,False,False,[0.5 0.1 0.3]
441.87044,100,30.040861,0.08545175306848389,False,False,[0.5 0.1 0.3]
458.720843,100,30.274067,0.01645759402904216,False,False,[0.5 0.1 0.3]
290.784674,92,30.498074,0.22471371012247143,True,False,[0.5 0.1 0.3]
259.354156,100,30.729647,0.249436799361018,True,False,[0.5 0.1 0.3]
245.017086,95,30.956311,0.31298424152721854,True,False,[0.5 0.1 0.3]
405.778017,100,31.185115,0.12097419357963671,False,False,[0.5 0.1 0.3]
265.49595,95,31.415571,0.30258420497331023,True,False,[0.5 0.1 0.3]
