#{"t_start": 1742429671.1909785, "env_id": "None"}
r,l,t,distance_to_target,collision,reached_goal,target
495.760532,200,3.188375,0.24626002579655276,False,False,[0.47439796 0.11037049 0.51986499]
590.787224,200,5.400035,0.19409176316141039,False,False,[0.47412896 0.26814712 0.43213393]
538.162369,200,7.653514,0.41577003047051203,False,False,[0.38185945 0.34770839 0.41986187]
394.949973,200,10.042179,0.7676341221227282,False,False,[0.40673091 0.34845353 0.51165684]
250.812123,200,12.268168,0.5924521413306356,False,False,[0.35383198 0.30543125 0.37377595]
493.143008,200,14.475849,0.5292159325901951,False,False,[0.63862459 0.13185819 0.50209844]
382.382501,200,16.706113,0.7589308427533077,False,False,[0.3261146  0.27124893 0.33861237]
232.444258,200,18.926793,1.1117297936188064,False,False,[0.35086399 0.33869812 0.3904048 ]
655.551635,200,21.162508,0.32846533025011765,False,False,[0.34277827 0.18812248 0.43993051]
408.843646,200,23.497218,0.5794210859340998,False,False,[0.48711499 0.18069729 0.55616269]
529.43321,200,26.479052,0.5050127114999673,False,False,[0.49322793 0.30209469 0.45475706]
282.767285,200,28.855746,0.7941988085637546,False,False,[0.64595137 0.37758364 0.32581429]
598.557312,200,31.273852,0.44161757292080916,False,False,[0.33575656 0.10261871 0.50025109]
443.519509,200,33.587592,0.6369131132552291,False,False,[0.39238081 0.26599243 0.49465906]
529.649895,200,35.845814,0.3775811563755226,False,False,[0.63020921 0.18334474 0.41086261]
323.784031,200,38.100605,0.8668249215795016,False,False,[0.63949727 0.32854637 0.37093958]
193.305615,200,40.318879,0.8407748257303687,False,False,[0.35818866 0.48682132 0.36356098]
418.35928,200,42.579848,0.5822051414223022,False,False,[0.53355836 0.32880056 0.31641498]
581.887063,200,44.823994,0.5730837664498928,False,False,[0.33470113 0.16192053 0.57172027]
529.998137,200,47.05381,0.6160340315604231,False,False,[0.6169868  0.23503558 0.44474261]
208.334921,200,49.851989,0.7398952946232066,False,False,[0.57735358 0.49021009 0.30423875]
624.629243,200,52.164925,0.21712628800875103,False,False,[0.46414198 0.19753066 0.33134782]
