#{"t_start": 1742467723.7243075, "env_id": "None"}
r,l,t,distance_to_target,collision,reached_goal,target
1311.143288,200,1.339331,0.02233983921878817,False,False,[ 0.44879592 -0.07925901  0.53972998]
1404.074908,200,1.671355,0.04973090208096391,False,False,[0.44825791 0.23629424 0.36426786]
1532.391415,200,2.021258,0.04634102158333204,False,False,[0.26371891 0.39541677 0.33972374]
1010.487329,200,2.331727,0.09035106395889192,False,False,[0.31346182 0.39690707 0.52331368]
1240.076966,200,2.652058,0.040772053388664825,False,False,[0.20766396 0.3108625  0.24755189]
1111.558722,200,2.96607,0.06329151896341284,False,False,[0.1522292  0.24249786 0.17722473]
1324.914396,200,3.281007,0.06156458226589895,False,False,[0.20172798 0.37739625 0.2808096 ]
1048.399685,200,3.603522,0.08172725939418866,False,False,[0.18555655 0.07624497 0.37986103]
1403.314612,200,3.933146,0.02981099495959213,False,False,[0.47422999 0.06139458 0.61232538]
1418.205568,200,4.250264,0.024244602514513717,False,False,[0.48645587 0.30418938 0.40951412]
1166.430117,200,5.14494,0.025039771594863463,False,False,[0.16567594 0.19307392 0.7806804 ]
973.626323,200,5.468655,0.1068909880452207,False,False,[ 0.17151312 -0.09476257  0.50050217]
1408.055103,200,5.82059,0.07111903956732538,False,False,[0.28476162 0.23198485 0.48931811]
1295.983545,200,6.132864,0.05789821522535109,False,False,[0.76041843 0.06668948 0.32172522]
1134.649456,200,6.437291,0.05681396547280117,False,False,[0.21637732 0.67364265 0.22712196]
1240.085069,200,6.744694,0.048117006805212185,False,False,[0.56711673 0.35760112 0.13282995]
3.518058,40,6.891266,0.46735011945346244,True,False,[0.16940227 0.02384106 0.64344054]
1490.712361,200,7.210058,0.08312576427878715,False,False,[0.7339736  0.17007116 0.38948521]
1250.417592,200,7.51352,0.037630017463386865,False,False,[0.18466353 0.46802418 0.48777128]
1331.415333,200,7.821451,0.05541367458027079,False,False,[0.5354328  0.11711203 0.1733118 ]
1417.819719,200,8.123538,0.029081218159169187,False,False,[0.50003558 0.10855917 0.49735917]
1306.929832,200,8.904504,0.024676357956542043,False,False,[0.64528005 0.2421593  0.21226367]
351.617877,200,9.215152,0.05397175057202451,False,False,[0.45608179 0.22003881 0.35645493]
1336.113536,200,9.57733,0.017172242344680004,False,False,[0.29614711 0.31106639 0.68595069]
1636.285946,200,9.879944,0.04209688508834654,False,False,[0.26669967 0.3849832  0.32931808]
1162.160926,200,10.250776,0.09128575436291979,False,False,[0.30588947 0.05879036 0.68751831]
1321.406678,200,10.555623,0.046068585178732614,False,False,[0.42268796 0.25415564 0.31293706]
901.709018,200,10.91769,0.12606437403654447,False,False,[0.10791179 0.62078569 0.54295834]
1383.048303,200,11.241361,0.03496183299616133,False,False,[0.53186915 0.24899406 0.3339528 ]
