#{"t_start": 1742427982.1787677, "env_id": "None"}
r,l,t,distance_to_target,collision,reached_goal,target
495.760531,200,2.743336,0.2462600261782972,False,False,[0.47439796 0.11037049 0.51986499]
595.787217,200,4.404188,0.19409176588170932,False,False,[0.47412896 0.26814712 0.43213393]
610.256742,200,6.063087,0.18717780335829767,False,False,[0.38185945 0.34770839 0.41986187]
865.097802,200,7.752834,0.1600539205621341,False,False,[0.40673091 0.34845353 0.51165684]
245.415114,200,8.920583,0.8996112122419123,False,False,[0.35383198 0.30543125 0.37377595]
277.334621,200,10.616355,1.191448512171657,False,False,[0.63862459 0.13185819 0.50209844]
296.153029,200,12.322781,0.8677032352736885,False,False,[0.3261146  0.27124893 0.33861237]
143.387152,200,13.469573,0.5720301619531157,False,False,[0.35086399 0.33869812 0.3904048 ]
320.554292,200,14.655165,0.7644808130275402,False,False,[0.34277827 0.18812248 0.43993051]
138.451942,200,16.533965,1.187457548540237,False,False,[0.48711499 0.18069729 0.55616269]
195.304545,200,19.206802,0.9861809750135807,False,False,[0.49322793 0.30209469 0.45475706]
175.079336,200,21.227535,1.140381922278195,False,False,[0.64595137 0.37758364 0.32581429]
375.799452,200,22.787148,0.8175863635235395,False,False,[0.33575656 0.10261871 0.50025109]
213.387148,200,24.852754,1.2600244956594893,False,False,[0.39238081 0.26599243 0.49465906]
443.205084,200,26.407399,0.3913262593942978,False,False,[0.63020921 0.18334474 0.41086261]
109.465125,200,28.486944,1.3844876096325394,False,False,[0.63949727 0.32854637 0.37093958]
117.577501,200,30.035627,1.0141948328477546,False,False,[0.35818866 0.48682132 0.36356098]
142.668689,200,32.107453,0.8000347135855482,False,False,[0.53355836 0.32880056 0.31641498]
284.805423,200,33.660449,0.739017791031728,False,False,[0.33470113 0.16192053 0.57172027]
270.432356,200,35.721419,0.8587811095321571,False,False,[0.6169868  0.23503558 0.44474261]
74.808029,200,37.851434,1.2228847686950917,False,False,[0.57735358 0.49021009 0.30423875]
639.056259,200,39.384647,0.23405173313299277,False,False,[0.46414198 0.19753066 0.33134782]
174.732609,200,41.411887,0.6695348760749221,False,False,[0.46822478 0.42134744 0.41230088]
247.356489,200,42.943366,0.7079355865838276,False,False,[0.40801491 0.27508006 0.39079584]
364.27256,200,44.994781,1.0151854673713054,False,False,[0.62551446 0.11901036 0.30001723]
394.835894,200,46.578645,0.5290087443783517,False,False,[0.39362883 0.24237352 0.47551837]
238.27537,200,48.591381,0.776851836604825,False,False,[0.34707973 0.13830501 0.60984492]
447.615139,200,50.660558,0.7549245312761633,False,False,[0.48014628 0.20936067 0.49442271]
316.915914,200,52.760458,0.4548580063586108,False,False,[0.38503487 0.36192729 0.5103415 ]
490.080228,200,54.311778,0.30287378974216367,False,False,[0.63098563 0.13271486 0.36257516]
552.210304,200,56.962432,0.21105067842713526,False,False,[0.54513388 0.14571704 0.48420241]
390.334265,200,58.490512,0.8043553827219723,False,False,[0.49093508 0.31225577 0.55013156]
137.015529,200,60.545456,1.0104034427158501,False,False,[0.30279567 0.39719674 0.45568358]
42.120148,200,62.118575,1.3865514389528695,False,False,[0.62990622 0.42463796 0.32749907]
119.203265,200,64.137211,0.9874291417642308,False,False,[0.30625084 0.48316388 0.61482782]
229.358907,200,65.662045,0.5387422288838151,False,False,[0.41575244 0.28979219 0.60319262]
430.997123,200,67.702122,0.5540434931764769,False,False,[0.49195568 0.26779253 0.3246191 ]
351.156142,200,69.233582,0.5256867514850463,False,False,[0.57069594 0.39345274 0.36100735]
384.269437,200,71.265097,0.2673755786027189,False,False,[0.37423544 0.30251613 0.54229565]
107.12331,200,72.825399,1.246382560252309,False,False,[0.47108062 0.45846945 0.48042042]
393.145724,200,75.482308,0.13052997836733982,False,False,[0.56447547 0.31945425 0.32241781]
269.827093,200,77.730011,0.848912335223917,False,False,[0.3739944  0.49201178 0.50958347]
152.830283,200,79.266959,0.9701786406465744,False,False,[0.48921853 0.23272057 0.5778408 ]
515.929812,200,81.27775,0.24960912345819045,False,False,[0.56107008 0.10874284 0.31886872]
438.371265,200,82.856942,0.25877196654801304,False,False,[0.49854841 0.26115052 0.46996184]
301.386981,200,84.941858,0.596599988178739,False,False,[0.48437281 0.15001299 0.62117818]
380.557197,200,86.980178,0.4964529238103899,False,False,[0.38612292 0.25071165 0.49427917]
346.075309,200,88.537434,0.8687190594831381,False,False,[0.44361454 0.27404937 0.51809242]
292.16951,200,90.574303,0.6917068101875066,False,False,[0.41088112 0.39161304 0.32437285]
386.765826,200,92.094774,0.36423633452191095,False,False,[0.47663055 0.20133961 0.4825074 ]
522.374794,200,94.139166,0.6644471043565509,False,False,[0.32386798 0.15971246 0.35283387]
222.807698,200,96.335013,0.37898729426798716,False,False,[0.61911934 0.2345144  0.4687425 ]
515.69198,200,98.687063,0.3190465929036958,False,False,[0.38226547 0.2445205  0.48263077]
