#{"t_start": 1742429181.1825151, "env_id": "None"}
r,l,t,distance_to_target,collision,reached_goal,target
634.996117,200,3.656572,0.5114786782385379,False,False,[0.47439796 0.11037049 0.51986499]
281.626628,200,6.032264,0.8649517718803695,False,False,[0.47412896 0.26814712 0.43213393]
224.081856,200,8.397713,1.067474963357171,False,False,[0.38185945 0.34770839 0.41986187]
428.088299,200,10.831377,0.7973079113574715,False,False,[0.40673091 0.34845353 0.51165684]
213.241986,200,13.18028,0.5227716665146842,False,False,[0.35383198 0.30543125 0.37377595]
445.475198,200,15.584388,0.8666311951333523,False,False,[0.63862459 0.13185819 0.50209844]
378.692076,200,17.957481,0.6188520563093101,False,False,[0.3261146  0.27124893 0.33861237]
151.237332,200,20.339467,1.2514791576884738,False,False,[0.35086399 0.33869812 0.3904048 ]
396.074044,200,22.736329,0.7207159387477304,False,False,[0.34277827 0.18812248 0.43993051]
392.132422,200,25.119736,0.8584000197857765,False,False,[0.48711499 0.18069729 0.55616269]
640.143284,200,28.07194,0.48532147974947704,False,False,[0.49322793 0.30209469 0.45475706]
260.368357,200,30.491504,1.0421716676894626,False,False,[0.64595137 0.37758364 0.32581429]
457.724877,200,32.890795,0.6616614322154575,False,False,[0.33575656 0.10261871 0.50025109]
585.059723,200,35.288127,0.5615738353079416,False,False,[0.39238081 0.26599243 0.49465906]
622.124684,200,37.641223,0.2795377369869971,False,False,[0.63020921 0.18334474 0.41086261]
216.463058,200,40.079829,1.059276411356076,False,False,[0.63949727 0.32854637 0.37093958]
262.370947,200,42.44239,0.6419127623439288,False,False,[0.35818866 0.48682132 0.36356098]
435.129172,200,44.803096,0.4957630541603452,False,False,[0.53355836 0.32880056 0.31641498]
633.306692,200,47.181033,0.6146657874446337,False,False,[0.33470113 0.16192053 0.57172027]
328.299804,200,49.582409,0.8389311035656151,False,False,[0.6169868  0.23503558 0.44474261]
