hyperparams/learning_rate,hyperparams/seed,hyperparams/ent_coef,hyperparams/n_steps,hyperparams/gamma,hyperparams/clip_range,hyperparams/batch_size,time/time_elapsed,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/fps,train/learning_rate,train/approx_kl,train/clip_range,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/value_loss,train/std,train/explained_variance,train/loss,train/n_updates
0.0003,2,0.01,2048,0.99,0.2,512,,,,,,,,,,,,,,,,,
,,,,,,,11,1,-9.372671557692307,38.92307692307692,2048,181,,,,,,,,,,,
,,,,,,,22,2,-7.076705474747475,41.15151515151515,4096,183,0.0003,0.006014906,0.2,-0.006245244108140468,-9.355012273788452,0.045458984375,152181.84609375,1.182477355003357,3.0994415283203125e-06,73660.953125,10
,,,,,,,34,3,-9.466543750000001,40.65,6144,176,0.0003,0.0063946308,0.2,-0.005974605429219082,-9.358932065963746,0.05283203125,139045.13515625,1.1839852333068848,1.9669532775878906e-06,70648.7890625,20
,,,,,,,46,4,-10.9069275,40.01,8192,177,0.0003,0.0056617386,0.2,-0.004817536287009716,-9.36586332321167,0.036181640625,155348.95703125,1.1847368478775024,7.331371307373047e-06,73858.90625,30
,,,,,,,57,5,-8.024554279999998,40.95,10240,178,0.0003,0.0037607476,0.2,-0.0033160302991745993,-9.367632341384887,0.03134765625,116510.29970703126,1.1845645904541016,0.0001569986343383789,26465.0234375,40
,,,,,,,68,6,-4.593331490000001,40.76,12288,178,0.0003,0.0053292746,0.2,-0.004547839029692113,-9.368236327171326,0.045751953125,21496.976916503907,1.1855088472366333,0.3051309585571289,3475.078369140625,50
,,,,,,,79,7,1.4557458500000005,42.27,14336,181,0.0003,0.0056931023,0.2,-0.004044861788861454,-9.373768186569214,0.034130859375,6327.906289672852,1.186354160308838,0.4381335377693176,1515.8795166015625,60
,,,,,,,87,8,3.4048437000000003,44.32,16384,186,0.0003,0.007902442,0.2,-0.00407914406969212,-9.373098039627076,0.061474609375,2268.3048461914063,1.1855531930923462,0.5451041460037231,486.7580871582031,70
,,,,,,,95,9,13.938665780000001,48.38,18432,192,0.0003,0.010042008,0.2,-0.008532928890781477,-9.382077193260193,0.109423828125,775.5575370788574,1.19301176071167,0.7277163565158844,198.5162811279297,80
,,,,,,,102,10,31.228329879999997,54.3,20480,200,0.0003,0.018678699,0.2,-0.008165838679997251,-9.4311532497406,0.145947265625,620.6737640380859,1.2003194093704224,0.7505902796983719,224.19886779785156,90
,,,,,,,108,11,51.27351755999999,63.03,22528,208,0.0003,0.016722094,0.2,-0.008693295292323456,-9.460594439506531,0.160498046875,650.9697410583497,1.2062076330184937,0.7607027888298035,233.95831298828125,100
,,,,,,,113,12,73.43679768999999,69.16,24576,217,0.0003,0.020274917,0.2,-0.005571473750751466,-9.483143377304078,0.13681640625,469.8869003295898,1.2071465253829956,0.7645281553268433,175.8861541748047,110
,,,,,,,118,13,94.61997303999996,78.28,26624,225,0.0003,0.0102563705,0.2,-0.004453158949036151,-9.487585759162902,0.13232421875,517.105924987793,1.2083674669265747,0.762582078576088,216.79000854492188,120
,,,,,,,123,14,111.97206167999998,83.77,28672,232,0.0003,0.008899751,0.2,-0.010566311364527792,-9.497442865371704,0.10634765625,625.1607688903808,1.2104946374893188,0.8192418962717056,265.7262268066406,130
,,,,,,,128,15,137.71850208,90.21,30720,238,0.0003,0.00754436,0.2,-0.0037309608422219755,-9.502266979217529,0.094970703125,270.37015838623046,1.2104655504226685,0.891931489109993,86.0029067993164,140
,,,,,,,133,16,138.63259288000003,89.11,32768,244,0.0003,0.0132887615,0.2,-0.004083579895086587,-9.50183084011078,0.09794921875,836.5433151245118,1.2111083269119263,0.7744199484586716,305.7598876953125,150
,,,,,,,138,17,141.70777451,90.35,34816,250,0.0003,0.012822077,0.2,-0.001416911039268598,-9.508823537826538,0.1787109375,430.3941452026367,1.2143498659133911,0.8841715082526207,156.57493591308594,160
,,,,,,,143,18,146.60104115000001,94.11,36864,257,0.0003,0.0068717683,0.2,-0.003244781051762402,-9.521879148483276,0.083544921875,436.8410842895508,1.2164849042892456,0.8668398559093475,159.21189880371094,170
,,,,,,,148,19,154.26863081000002,97.3,38912,262,0.0003,0.008945488,0.2,-0.009347621211782097,-9.530562829971313,0.100537109375,509.65394897460936,1.2173802852630615,0.856633260846138,173.60147094726562,180
,,,,,,,152,20,169.15909026000006,101.81,40960,268,0.0003,0.00941266,0.2,-0.008991974190576003,-9.532579469680787,0.107763671875,685.2228652954102,1.2169358730316162,0.7448712587356567,263.8962097167969,190
,,,,,,,157,21,183.0087428,107.48,43008,273,0.0003,0.0071908953,0.2,-0.007998389971908182,-9.53429834842682,0.069970703125,567.4235832214356,1.218311071395874,0.8299936652183533,222.83132934570312,200
,,,,,,,161,22,194.58813650999997,111.54,45056,278,0.0003,0.00974576,0.2,-0.008534090616740287,-9.54271366596222,0.104638671875,569.3061904907227,1.2199969291687012,0.7734524756669998,164.49874877929688,210
,,,,,,,166,23,208.12459761999995,114.84,47104,283,0.0003,0.013362088,0.2,-0.008230258675757796,-9.552203965187072,0.106396484375,481.0422080993652,1.2229965925216675,0.8356626927852631,196.85464477539062,220
,,,,,,,170,24,220.83113916999994,114.83,49152,288,0.0003,0.009521034,0.2,-0.007527155155548826,-9.565344738960267,0.1009765625,651.234772491455,1.2238198518753052,0.7690888345241547,206.9559326171875,230
