#{"t_start": 1742430743.6146472, "env_id": "None"}
r,l,t,distance_to_target,collision,reached_goal,target
12.710337,43,1.200333,0.6707990909978064,True,False,[0.47439796 0.11037049 0.51986499]
68.985444,57,1.465576,0.5304986185436457,True,False,[0.47412896 0.26814712 0.43213393]
-9.44961,46,1.627861,0.6513620954124877,True,False,[0.38185945 0.34770839 0.41986187]
154.818468,103,1.850937,0.6539919396048385,True,False,[0.40673091 0.34845353 0.51165684]
-35.355229,32,2.095807,0.6962225047890978,True,False,[0.35383198 0.30543125 0.37377595]
10.895257,37,2.344205,0.46178374466224964,True,False,[0.63862459 0.13185819 0.50209844]
-32.989388,33,2.587359,0.6445453355801753,True,False,[0.3261146  0.27124893 0.33861237]
-36.672707,37,2.838961,0.6786315842002371,True,False,[0.35086399 0.33869812 0.3904048 ]
-20.914541,35,3.090605,0.6105588670693184,True,False,[0.34277827 0.18812248 0.43993051]
-20.197256,36,3.340779,0.6768000645180773,True,False,[0.48711499 0.18069729 0.55616269]
5.164979,39,3.595098,0.4980056760054187,True,False,[0.49322793 0.30209469 0.45475706]
-14.675,34,3.74861,0.543930658226021,True,False,[0.61745498 0.33200167 0.36491944]
1.392593,40,3.912484,0.5533571355955613,True,False,[0.47101839 0.27469891 0.61062367]
-44.920706,32,4.060391,0.7099596028357761,True,False,[0.33283797 0.24653696 0.6403402 ]
86.799112,60,4.239192,0.5088366913142399,True,False,[0.46251002 0.11088095 0.3988709 ]
-34.1385,38,4.393785,0.825092352082317,True,False,[0.36769018 0.21720929 0.50962675]
-65.55993,18,4.672447,0.7354680897416929,True,False,[0.44264971 0.11827159 0.69326138]
-21.969365,32,4.936929,0.5934926315090197,True,False,[0.47654197 0.30160018 0.42941653]
-41.249151,38,5.195455,0.8445535838931394,True,False,[0.4038979  0.25475595 0.63280676]
-57.343799,22,5.391697,0.5708488340935131,True,False,[0.59469882 0.25168423 0.30520693]
-24.4098,29,5.553022,0.6112413625995491,True,False,[0.61896198 0.20775552 0.53307396]
-55.681563,34,5.80588,0.9292335199599324,True,False,[0.31022038 0.36488081 0.45500937]
-28.350057,22,6.101723,0.6139807340222029,True,False,[0.49882952 0.26596233 0.44034876]
-41.507219,39,6.355766,0.7137731514760327,True,False,[0.52039116 0.48916428 0.34511049]
60.887292,45,6.513918,0.5202753074140745,True,False,[0.42530341 0.11671908 0.5953599 ]
2.868367,34,6.666803,0.6304949103006295,True,False,[0.56300496 0.1858543  0.46670138]
-9.467898,39,6.917875,0.4806646972020724,True,False,[0.55753677 0.36459253 0.36819085]
-39.523914,34,7.068415,0.607279218940636,True,False,[0.65266089 0.41120326 0.35358168]
17.567512,42,7.324464,0.6869459301767725,True,False,[0.53683383 0.23849516 0.40551141]
-27.995177,42,7.585039,0.8402879555590363,True,False,[0.37068486 0.33650294 0.49570647]
-28.446537,40,7.83541,0.6834064248021063,True,False,[0.51916311 0.37980825 0.39832447]
-5.062352,40,8.086688,0.6829555294820435,True,False,[0.37465086 0.14423326 0.4096237 ]
-49.557761,36,8.33669,0.8075253285479195,True,False,[0.30410002 0.35174389 0.41806892]
-8.559028,39,8.591288,0.5716135728283944,True,False,[0.37491462 0.13811522 0.41350232]
-22.297993,43,8.844879,0.7830026033668788,True,False,[0.38596975 0.21424149 0.48856394]
66.322266,45,9.005374,0.4029278225278494,True,False,[0.31954723 0.1928473  0.55732457]
-60.728615,33,9.152313,0.9299200816369736,True,False,[0.36458663 0.44805836 0.38696097]
71.625887,46,9.312682,0.4311381059946151,True,False,[0.31249902 0.19182961 0.581851  ]
-11.695702,41,9.462332,0.6508969682117292,True,False,[0.335025   0.11223579 0.44285397]
53.705587,42,9.71692,0.43244010138159644,True,False,[0.5359128  0.12088909 0.32626547]
-48.956654,33,9.968806,0.8642245864513715,True,False,[0.31740047 0.2580603  0.56737082]
-1.205752,45,10.127687,0.5211348306459507,True,False,[0.37921084 0.45050658 0.47295564]
24.507715,46,10.290762,0.7361991364557521,True,False,[0.54785659 0.2161707  0.54610183]
-27.975317,42,10.448733,0.7231169826816317,True,False,[0.68146398 0.27920589 0.38281994]
-19.692077,37,10.599927,0.6657935071263108,True,False,[0.47014692 0.27782971 0.50304699]
-18.213856,22,10.885611,0.4185324279860359,True,False,[0.5102933  0.11697168 0.36576763]
-53.890503,32,11.039236,0.8463651415685389,True,False,[0.43274949 0.29258326 0.5993496 ]
-47.565994,32,11.294338,0.8126003789481362,True,False,[0.47782838 0.38629883 0.30337935]
-25.190123,37,11.451113,0.45264714692833097,True,False,[0.31008057 0.4761802  0.34085518]
-15.361398,33,11.596833,0.5330385968011836,True,False,[0.56478712 0.2133035  0.38033694]
-23.973159,50,11.857274,0.8582169479255741,True,False,[0.45533367 0.47036064 0.52810968]
5.113894,38,12.106384,0.547914677531312,True,False,[0.50243473 0.18752831 0.30186541]
-29.157764,41,12.87358,0.7713628067598224,True,False,[0.43865201 0.183401   0.64695261]
-29.02252,36,13.127026,0.6774040886137649,True,False,[0.35707541 0.10054959 0.54449706]
-13.689866,37,13.279598,0.5887812598953289,True,False,[0.57547484 0.295386   0.53078242]
-30.070996,34,13.530953,0.6474845439186895,True,False,[0.33433891 0.13692217 0.42848013]
-14.928431,37,13.777731,0.6550051165558561,True,False,[0.46289757 0.1973753  0.5700764 ]
-44.204223,35,14.032811,0.8118123366458928,True,False,[0.42413982 0.37334459 0.45328953]
-22.76669,30,14.275516,0.6221387746703619,True,False,[0.40958699 0.16320975 0.47750068]
12.969358,45,14.433999,0.6042760817031284,True,False,[0.51363279 0.30755542 0.47145004]
-27.317925,35,14.581767,0.6977151617095826,True,False,[0.65661703 0.25155893 0.41272469]
-41.006254,32,14.828843,0.6896392043585396,True,False,[0.38031138 0.30926253 0.46975086]
-31.965597,44,15.082619,0.8094676904694139,True,False,[0.4157018  0.39228066 0.57161243]
-52.44685,37,15.334026,0.9431731053634141,True,False,[0.34364077 0.34371112 0.61507665]
10.008254,37,15.492165,0.5588465800402121,True,False,[0.5835212  0.23573852 0.40968959]
-40.843273,39,15.747592,0.7968396194070181,True,False,[0.50822549 0.45630745 0.46043298]
-34.735676,35,15.998998,0.6455113524441352,True,False,[0.37999655 0.31175029 0.58209218]
21.555628,44,16.157913,0.6330967624338237,True,False,[0.49126306 0.24717245 0.47600844]
-39.980144,42,16.40929,0.8489062512353542,True,False,[0.44919845 0.38293517 0.59301855]
-19.326203,37,16.661002,0.5581435399968883,True,False,[0.59965329 0.37652176 0.32786345]
2.797005,47,16.820005,0.5883108163896739,True,False,[0.52186474 0.37786642 0.51021573]
10.153787,44,16.980602,0.5833500263256838,True,False,[0.39731948 0.15029018 0.50458797]
345.342865,144,17.23413,0.496017103476171,True,False,[0.36543769 0.24954832 0.4123984 ]
-35.294063,41,17.394372,0.726204570347807,True,False,[0.32293094 0.37628688 0.49018326]
-45.752801,37,17.563905,0.8619533178844653,True,False,[0.40966747 0.45242298 0.38999087]
44.392939,46,17.820271,0.5589369261497144,True,False,[0.60101771 0.23294367 0.46737866]
22.975391,42,18.071938,0.5620969212352885,True,False,[0.51507634 0.10510216 0.52183522]
-33.743003,41,18.323217,0.8142310104215624,True,False,[0.54382863 0.36353116 0.53899613]
-46.469892,43,18.576287,0.865599625418377,True,False,[0.36374867 0.4629393  0.57791807]
-47.623322,35,18.820807,0.7932494900639687,True,False,[0.30099058 0.18196435 0.65262788]
0.897751,41,19.067587,0.5356487118417074,True,False,[0.49659674 0.35528846 0.41255942]
-25.130953,39,19.221851,0.7107833663457716,True,False,[0.41210254 0.22932106 0.59245089]
-44.816658,38,19.471994,0.8547305620218352,True,False,[0.30638373 0.18312792 0.5884161 ]
-11.40086,43,19.729823,0.688566626826952,True,False,[0.36997447 0.20697023 0.56391166]
55.680035,53,20.011552,0.5161490916312624,True,False,[0.45212824 0.2586603  0.44975   ]
24.267975,40,20.264547,0.460970203257435,True,False,[0.65186602 0.1194441  0.50167103]
-24.572269,38,20.511717,0.6669011692415271,True,False,[0.42125305 0.31679013 0.45410836]
-21.9948,42,20.669374,0.539794540444784,True,False,[0.43691705 0.48125693 0.39968251]
-48.199353,42,20.827777,0.8499519780289208,True,False,[0.37637905 0.46170162 0.42398543]
-0.553093,35,21.075512,0.5335506208043063,True,False,[0.55557235 0.11148814 0.54640073]
-31.540344,39,21.23004,0.701431002180251,True,False,[0.45742755 0.29762005 0.64237657]
73.943398,54,21.50931,0.543055120069085,True,False,[0.54089917 0.3766259  0.49497366]
68.95688,107,21.748696,0.8152578068779872,True,False,[0.37869675 0.32892735 0.67892384]
-25.504065,39,21.910811,0.7760738078261503,True,False,[0.46600228 0.40429265 0.50955303]
83.594478,49,22.177716,0.605256393839879,True,False,[0.52462802 0.17229302 0.43701851]
16.864672,38,22.324139,0.557438368944415,True,False,[0.49417534 0.17068846 0.3483524 ]
